manager,round,worker,m_eva,ai_eva,p1,p2,p3,inventory_firstGainOrder,inventory_firstGainStep,inventory_accum_reward,inventory_rewardedGainStep,inventory_rewardedGainOrder,if_iron_axe,if_stone_axe,if_wooden_axe,sparse_reward,dense_reward,attack_effi,attack_ratio,attack_equipped,camera_mov_ratio,position_mov_ratio,torch_placed,cobblestone_placed,dirt_placed,stone_placed,if_smelt_coal,inventory_firstGainOrder_0,inventory_firstGainOrder_1,inventory_firstGainOrder_2,inventory_firstGainOrder_3,inventory_firstGainOrder_4,inventory_firstGainOrder_5,inventory_firstGainOrder_6,inventory_firstGainOrder_7,inventory_firstGainOrder_8,inventory_firstGainOrder_9,inventory_firstGainOrder_10,inventory_firstGainOrder_11,inventory_firstGainOrder_12,inventory_firstGainOrder_13,inventory_firstGainOrder_14,inventory_firstGainOrder_15,inventory_firstGainOrder_16,inventory_firstGainOrder_17,inventory_firstGainStep_0,inventory_firstGainStep_1,inventory_firstGainStep_2,inventory_firstGainStep_3,inventory_firstGainStep_4,inventory_firstGainStep_5,inventory_firstGainStep_6,inventory_firstGainStep_7,inventory_firstGainStep_8,inventory_firstGainStep_9,inventory_firstGainStep_10,inventory_firstGainStep_11,inventory_firstGainStep_12,inventory_firstGainStep_13,inventory_firstGainStep_14,inventory_firstGainStep_15,inventory_firstGainStep_16,inventory_firstGainStep_17,inventory_accum_reward_0,inventory_accum_reward_1,inventory_accum_reward_2,inventory_accum_reward_3,inventory_accum_reward_4,inventory_accum_reward_5,inventory_accum_reward_6,inventory_accum_reward_7,inventory_accum_reward_8,inventory_accum_reward_9,inventory_accum_reward_10,inventory_accum_reward_11,inventory_accum_reward_12,inventory_accum_reward_13,inventory_accum_reward_14,inventory_accum_reward_15,inventory_accum_reward_16,inventory_accum_reward_17,inventory_rewardedGainStep_0,inventory_rewardedGainStep_1,inventory_rewardedGainStep_2,inventory_rewardedGainStep_3,inventory_rewardedGainStep_4,inventory_rewardedGainStep_5,inventory_rewardedGainStep_6,inventory_rewardedGainStep_7,inventory_rewardedGainStep_8,inventory_rewardedGainStep_9,inventory_rewardedGainStep_10,inventory_rewardedGainStep_11,inventory_rewardedGainStep_12,inventory_rewardedGainStep_13,inventory_rewardedGainStep_14,inventory_rewardedGainStep_15,inventory_rewardedGainStep_16,inventory_rewardedGainStep_17,inventory_rewardedGainOrder_0,inventory_rewardedGainOrder_1,inventory_rewardedGainOrder_2,inventory_rewardedGainOrder_3,inventory_rewardedGainOrder_4,inventory_rewardedGainOrder_5,inventory_rewardedGainOrder_6,inventory_rewardedGainOrder_7,inventory_rewardedGainOrder_8,inventory_rewardedGainOrder_9,inventory_rewardedGainOrder_10,inventory_rewardedGainOrder_11,inventory_rewardedGainOrder_12,inventory_rewardedGainOrder_13,inventory_rewardedGainOrder_14,inventory_rewardedGainOrder_15,inventory_rewardedGainOrder_16,inventory_rewardedGainOrder_17,from,ai2_eva,ai2_p1,ai2_p2,ai2_p3,m_ai1,m_ai2,m_ai1_2
worker60a45d758006be79e8b07ed9,1,615d5b821a79847e2b342374,3,2,0.4398333333333333,0.4830151515151514,0.0771515151515151,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,483,2996.0,0.017620310723759,0.4995267840242287,0.5075786282682835,0.2960439144425515,0.3540601930721181,15.0,71.0,10.0,0.0,0.0,13.0,7.0,4.0,6.0,9.0,0.0,10.0,0.0,11.0,1.0,3.0,2.0,0.0,0.0,8.0,12.0,0.0,5.0,7713.0,2752.0,2087.0,2612.0,3743.0,0.0,4829.0,0.0,6366.0,949.0,1746.0,1404.0,0.0,0.0,3343.0,6426.0,0.0,2282.0,0.0,1296.0,20.0,0.0,96.0,0.0,1024.0,0.0,256.0,12.0,100.0,112.0,0.0,0.0,64.0,0.0,0.0,16.0,0.0,2752.0,2087.0,0.0,3743.0,0.0,4829.0,0.0,6366.0,949.0,1746.0,1404.0,0.0,0.0,3343.0,0.0,0.0,2282.0,0.0,7.0,4.0,0.0,9.0,0.0,10.0,0.0,11.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,5.0,trace-12-14,3,0.15,0.3458333333333333,0.5041666666666667,32,33,323
worker60a45d758006be79e8b07ed9,2,615d5b821a79847e2b342374,3,1,0.5545,0.3366666666666666,0.1088333333333333,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,227,1723.0,0.0332458442694663,0.3410922112802149,0.5940507436570429,0.2091912861832288,0.2287376902417189,5.0,53.0,1.0,0.0,0.0,7.0,8.0,4.0,0.0,10.0,0.0,11.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,9.0,1.0,0.0,6.0,4067.0,4097.0,3674.0,0.0,5931.0,0.0,6613.0,0.0,0.0,3105.0,3633.0,3692.0,0.0,0.0,4238.0,2924.0,0.0,3982.0,0.0,1136.0,8.0,0.0,32.0,0.0,384.0,0.0,0.0,5.0,62.0,56.0,0.0,0.0,32.0,0.0,0.0,8.0,0.0,4097.0,3674.0,0.0,5931.0,0.0,6613.0,0.0,0.0,3105.0,3633.0,3692.0,0.0,0.0,4238.0,0.0,0.0,3982.0,0.0,8.0,4.0,0.0,10.0,0.0,11.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,9.0,0.0,0.0,6.0,trace-12-14,3,0.10833333333333332,0.042499999999999996,0.8491666666666667,31,33,313
worker60a45d758006be79e8b07ed9,3,615d5b821a79847e2b342374,3,2,0.3893469387755102,0.4176258503401361,0.1930272108843537,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,483,3058.0,0.0247286959615726,0.3938480941704035,0.5513253869418253,0.1940863228699551,0.2191704035874439,3.0,110.0,0.0,0.0,0.0,10.0,1.0,5.0,8.0,11.0,0.0,12.0,0.0,13.0,3.0,4.0,6.0,0.0,0.0,9.0,2.0,0.0,7.0,6154.0,3007.0,5179.0,5531.0,8910.0,0.0,9576.0,0.0,9656.0,4758.0,5140.0,5198.0,0.0,0.0,5861.0,4627.0,0.0,5302.0,0.0,2128.0,12.0,0.0,32.0,0.0,384.0,0.0,256.0,6.0,140.0,60.0,0.0,0.0,32.0,0.0,0.0,8.0,0.0,3007.0,5179.0,0.0,8910.0,0.0,9576.0,0.0,9656.0,4758.0,5140.0,5198.0,0.0,0.0,5861.0,0.0,0.0,5302.0,0.0,1.0,5.0,0.0,11.0,0.0,12.0,0.0,13.0,3.0,4.0,6.0,0.0,0.0,9.0,0.0,0.0,7.0,trace-12-14,3,0.075,0.15833333333333333,0.7666666666666667,32,33,323
worker60a45d758006be79e8b07ed9,3,610145e14266fee313b9d264,3,2,0.3453168498168497,0.5498411588411588,0.1048419913419913,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,483,2003.0,0.0108780108780108,0.622822299651568,0.5508935508935509,0.2296747967479674,0.4486062717770034,1.0,29.0,1.0,0.0,0.0,0.0,7.0,8.0,6.0,10.0,0.0,11.0,0.0,12.0,2.0,3.0,4.0,0.0,0.0,9.0,1.0,0.0,5.0,0.0,3022.0,3176.0,2818.0,6050.0,0.0,6700.0,0.0,8067.0,2073.0,2408.0,2498.0,0.0,0.0,3305.0,1882.0,0.0,2569.0,0.0,1040.0,12.0,0.0,64.0,0.0,384.0,0.0,256.0,5.0,90.0,96.0,0.0,0.0,32.0,0.0,0.0,24.0,0.0,3022.0,3176.0,0.0,6050.0,0.0,6700.0,0.0,8067.0,2073.0,2408.0,2498.0,0.0,0.0,3305.0,0.0,0.0,2569.0,0.0,7.0,8.0,0.0,10.0,0.0,11.0,0.0,12.0,2.0,3.0,4.0,0.0,0.0,9.0,0.0,0.0,5.0,trace-12-14,3,0.025,0.14583333333333331,0.8291666666666666,32,33,323
worker60d681b7cb1baaaab8d901a6,1,616ea13883866ca0c836c13c,1,1,0.4822692307692308,0.4213974358974359,0.0963333333333333,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,483,6377.0,0.0074646682205765,0.6984359222700764,0.2541232702918006,0.1594988356997135,0.7027221958909473,304.0,234.0,156.0,0.0,0.0,0.0,8.0,6.0,1.0,10.0,0.0,11.0,0.0,12.0,2.0,3.0,5.0,0.0,13.0,9.0,4.0,0.0,7.0,0.0,4172.0,3470.0,1391.0,10853.0,0.0,14057.0,0.0,14226.0,2180.0,3095.0,3341.0,0.0,47192.0,5344.0,3173.0,0.0,3758.0,0.0,3936.0,16.0,0.0,96.0,0.0,1280.0,0.0,256.0,7.0,298.0,368.0,0.0,0.0,96.0,0.0,0.0,24.0,0.0,4172.0,3470.0,0.0,10853.0,0.0,14057.0,0.0,14226.0,2180.0,3095.0,3341.0,0.0,0.0,5344.0,0.0,0.0,3758.0,0.0,8.0,6.0,0.0,10.0,0.0,11.0,0.0,12.0,2.0,3.0,5.0,0.0,0.0,9.0,0.0,0.0,7.0,trace-12-14,1,0.7175,0.18,0.1025,11,11,111
worker60d681b7cb1baaaab8d901a6,1,5f44a14dc9c379248aa705a9,2,1,0.5172326479328295,0.3538488567693648,0.1289184952978056,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,227,2860.0,0.0045064689635121,0.6294694942008098,0.0924916412269225,0.3670990323244801,0.8990460503740306,135.0,74.0,2.0,0.0,0.0,0.0,8.0,5.0,2.0,10.0,0.0,12.0,0.0,0.0,3.0,4.0,6.0,0.0,11.0,9.0,1.0,0.0,7.0,0.0,38943.0,38433.0,36930.0,42310.0,0.0,43651.0,0.0,0.0,37653.0,38401.0,38509.0,0.0,43199.0,39614.0,36737.0,0.0,38577.0,0.0,1728.0,4.0,0.0,64.0,0.0,384.0,0.0,0.0,16.0,224.0,304.0,0.0,0.0,128.0,0.0,0.0,8.0,0.0,38943.0,38433.0,0.0,42310.0,0.0,43651.0,0.0,0.0,37653.0,38401.0,38509.0,0.0,0.0,39614.0,0.0,0.0,38577.0,0.0,8.0,5.0,0.0,10.0,0.0,12.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,9.0,0.0,0.0,7.0,trace-12-14,2,0.21333333333333332,0.6416666666666667,0.145,21,22,212
worker60d681b7cb1baaaab8d901a6,1,5d1cc0603690a90017b7fde9,2,1,0.506364468864469,0.4345879120879121,0.059047619047619,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,483,5590.0,0.0068409624936795,0.731591087126817,0.182921388417953,0.1809556967534163,0.793672208199147,212.0,105.0,26.0,0.0,0.0,15.0,8.0,5.0,10.0,11.0,0.0,13.0,0.0,14.0,1.0,3.0,4.0,0.0,9.0,12.0,2.0,7.0,6.0,42596.0,3311.0,1789.0,4435.0,5303.0,0.0,7199.0,0.0,7307.0,801.0,1073.0,1238.0,0.0,4166.0,5506.0,884.0,2715.0,2585.0,0.0,3392.0,16.0,0.0,64.0,0.0,768.0,0.0,256.0,18.0,608.0,380.0,0.0,0.0,64.0,0.0,0.0,24.0,0.0,3311.0,1789.0,0.0,5303.0,0.0,7199.0,0.0,7307.0,801.0,1073.0,1238.0,0.0,0.0,5506.0,0.0,0.0,2585.0,0.0,8.0,5.0,0.0,11.0,0.0,13.0,0.0,14.0,1.0,3.0,4.0,0.0,0.0,12.0,0.0,0.0,6.0,trace-12-14,2,0.31416666666666665,0.52,0.16583333333333333,21,22,212
worker60d681b7cb1baaaab8d901a6,2,5f44a14dc9c379248aa705a9,2,1,0.7184564461682109,0.2355049383856106,0.0460386154461784,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,128,512.0,0.0,0.0003885003885003,0.0,0.0543900543900543,0.0609945609945609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-14,2,0.008333333333333333,0.5657142857142856,0.42595238095238097,21,22,212
worker60d681b7cb1baaaab8d901a6,2,616ea13883866ca0c836c13c,2,1,0.841762884678279,0.1406032617803042,0.0176338535414165,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20,52.0,0.0010266940451745,0.3732277430067697,0.0,0.2147145229275769,0.5095159024141014,9.0,0.0,7.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3638.0,3704.0,2494.0,4061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,2494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-14,2,0.025,0.8466666666666667,0.12833333333333333,21,22,212
worker60d681b7cb1baaaab8d901a6,3,5f44a14dc9c379248aa705a9,2,1,0.4629253550543026,0.400112257917521,0.1369623870281764,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,407,1450.0,0.0200803212851405,0.2210386151797603,0.0152610441767068,0.2852197070572569,0.432046160674656,9.0,13.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2462.0,0.0,0.0,0.0,0.0,5036.0,0.0,5111.0,8834.0,8917.0,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,256.0,0.0,256.0,6.0,48.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2462.0,0.0,0.0,0.0,0.0,5036.0,0.0,5111.0,8834.0,8917.0,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-14,2,0.045,0.6074999999999999,0.3475,21,22,212
worker606f0eee100e0a9f59cc0735,1,612058b64e8bd208d39fbe68,2,2,0.3930513945119208,0.4596549546944284,0.1472936507936507,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,227,1112.0,0.0069488313329121,0.5794289897510981,0.2872183617603706,0.3596876525134211,0.5170815031722792,0.0,20.0,13.0,0.0,0.0,10.0,7.0,3.0,6.0,11.0,0.0,12.0,0.0,0.0,1.0,2.0,4.0,0.0,9.0,8.0,0.0,0.0,5.0,7228.0,2899.0,1538.0,2711.0,7493.0,0.0,8146.0,0.0,0.0,1262.0,1506.0,1669.0,0.0,4258.0,3124.0,0.0,0.0,2251.0,0.0,368.0,20.0,0.0,32.0,0.0,384.0,0.0,0.0,10.0,114.0,112.0,0.0,0.0,64.0,0.0,0.0,8.0,0.0,2899.0,1538.0,0.0,7493.0,0.0,8146.0,0.0,0.0,1262.0,1506.0,1669.0,0.0,0.0,3124.0,0.0,0.0,2251.0,0.0,7.0,3.0,0.0,11.0,0.0,12.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,0.0,0.0,5.0,trace-12-16,2,0.14583333333333331,0.6333333333333334,0.2208333333333333,22,22,222
worker606f0eee100e0a9f59cc0735,1,601410b50be393350ee795c4,3,2,0.425421052631579,0.4436774322169058,0.1309015151515151,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,227,3002.0,0.0271524316892936,0.5068373835031792,0.3901013919917511,0.349272711436286,0.3908196150161135,6.0,88.0,1.0,0.0,0.0,0.0,7.0,9.0,2.0,10.0,0.0,11.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,8.0,1.0,0.0,6.0,0.0,7152.0,10036.0,4610.0,10333.0,0.0,11008.0,0.0,0.0,5065.0,5274.0,6577.0,0.0,0.0,7622.0,3947.0,0.0,6721.0,0.0,2368.0,8.0,0.0,32.0,0.0,384.0,0.0,0.0,10.0,120.0,40.0,0.0,0.0,32.0,0.0,0.0,8.0,0.0,7152.0,10036.0,0.0,10333.0,0.0,11008.0,0.0,0.0,5065.0,5274.0,6577.0,0.0,0.0,7622.0,0.0,0.0,6721.0,0.0,7.0,9.0,0.0,10.0,0.0,11.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,8.0,0.0,0.0,6.0,trace-12-16,3,0.05833333333333333,0.36666666666666664,0.575,32,33,323
worker606f0eee100e0a9f59cc0735,2,612058b64e8bd208d39fbe68,2,1,0.5418352844781636,0.3518492470267459,0.1063154684950903,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,180,900.0,0.0030165912518853,0.3213766359670383,0.0351935646053293,0.1622232994021651,0.2237841331394409,0.0,0.0,6.0,0.0,0.0,2.0,5.0,1.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3862.0,4810.0,3790.0,5067.0,3865.0,0.0,3864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,32.0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4810.0,3790.0,0.0,3865.0,0.0,3864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-16,2,0.008333333333333333,0.5666666666666667,0.425,21,22,212
worker606f0eee100e0a9f59cc0735,3,612058b64e8bd208d39fbe68,3,1,0.4438971916971918,0.3364464943786372,0.2196563139241711,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,391,1313.0,0.05,0.0001140771161305,0.0,0.0193931097421857,0.0201916495550992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3341.0,0.0,3559.0,3469.0,3462.0,3492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,0.0,256.0,5.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3341.0,0.0,3559.0,3469.0,3462.0,3492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-16,3,0.10833333333333332,0.2890476190476191,0.6026190476190476,31,33,313
worker606f0eee100e0a9f59cc0735,2,601410b50be393350ee795c4,1,1,0.7356597248178437,0.2473492787835968,0.0169909963985594,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,53,312.0,0.0033050047214353,0.6345750524318386,0.0160528800755429,0.4121641865574753,0.5754519125137322,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4587.0,3209.0,9802.0,3267.0,0.0,0.0,0.0,0.0,4003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,4.0,0.0,32.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4587.0,3209.0,0.0,3267.0,0.0,0.0,0.0,0.0,4003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-16,2,0.3983333333333333,0.5123809523809524,0.08928571428571427,11,12,112
worker608adf0cc8637f7f395352b1,1,60b7b8126c0c4524e913236e,3,2,0.3149120879120878,0.6039450549450549,0.0811428571428571,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,483,2848.0,0.0153136835172073,0.6306334371754932,0.6443273505680882,0.5202492211838006,0.5840083073727933,1.0,55.0,9.0,0.0,0.0,13.0,7.0,4.0,6.0,9.0,0.0,10.0,0.0,11.0,1.0,2.0,3.0,0.0,0.0,8.0,12.0,0.0,5.0,6635.0,2179.0,1662.0,2029.0,3242.0,0.0,4010.0,0.0,4469.0,969.0,1287.0,1590.0,0.0,0.0,3010.0,4529.0,0.0,1832.0,0.0,1360.0,16.0,0.0,64.0,0.0,768.0,0.0,256.0,8.0,200.0,96.0,0.0,0.0,64.0,0.0,0.0,16.0,0.0,2179.0,1662.0,0.0,3242.0,0.0,4010.0,0.0,4469.0,969.0,1287.0,1590.0,0.0,0.0,3010.0,0.0,0.0,1832.0,0.0,7.0,4.0,0.0,9.0,0.0,10.0,0.0,11.0,1.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,5.0,trace-12-16,2,0.18,0.5098809523809524,0.31011904761904757,32,32,322
worker608adf0cc8637f7f395352b1,1,604a724676cc5a0de7e93fd1,3,1,0.4574285714285714,0.4168333333333334,0.1257380952380952,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,483,4249.0,0.0253333333333333,0.4398826979472141,0.4780740740740741,0.2413815575105897,0.3017921146953405,6.0,132.0,36.0,0.0,0.0,14.0,7.0,4.0,6.0,9.0,0.0,10.0,0.0,11.0,1.0,2.0,3.0,0.0,13.0,8.0,12.0,0.0,5.0,14114.0,5900.0,4225.0,5289.0,7217.0,0.0,8061.0,0.0,8345.0,2075.0,3205.0,3905.0,0.0,11338.0,6831.0,8391.0,0.0,4851.0,0.0,2528.0,16.0,0.0,64.0,0.0,1024.0,0.0,256.0,13.0,164.0,104.0,0.0,0.0,64.0,0.0,0.0,16.0,0.0,5900.0,4225.0,0.0,7217.0,0.0,8061.0,0.0,8345.0,2075.0,3205.0,3905.0,0.0,0.0,6831.0,0.0,0.0,4851.0,0.0,7.0,4.0,0.0,9.0,0.0,10.0,0.0,11.0,1.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,5.0,trace-12-16,3,0.0,0.3383333333333333,0.6616666666666667,31,33,313
worker608adf0cc8637f7f395352b1,1,5faacca24cd0384c1fa08be1,2,2,0.4169835164835164,0.4298974358974359,0.1531190476190476,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,483,3421.0,0.0166512488436632,0.5814954276492738,0.6245539844059733,0.2564358718204872,0.3660185967878275,3.0,68.0,25.0,0.0,0.0,0.0,7.0,4.0,6.0,9.0,0.0,10.0,0.0,11.0,1.0,2.0,3.0,0.0,0.0,8.0,12.0,0.0,5.0,0.0,3801.0,2861.0,3534.0,5969.0,0.0,6438.0,0.0,6947.0,1764.0,2243.0,2763.0,0.0,0.0,4610.0,6994.0,0.0,3064.0,0.0,1872.0,24.0,0.0,32.0,0.0,768.0,0.0,256.0,9.0,260.0,88.0,0.0,0.0,96.0,0.0,0.0,16.0,0.0,3801.0,2861.0,0.0,5969.0,0.0,6438.0,0.0,6947.0,1764.0,2243.0,2763.0,0.0,0.0,4610.0,0.0,0.0,3064.0,0.0,7.0,4.0,0.0,9.0,0.0,10.0,0.0,11.0,1.0,2.0,3.0,0.0,0.0,8.0,0.0,0.0,5.0,trace-12-16,2,0.05833333333333333,0.675,0.26666666666666666,22,22,222
worker608adf0cc8637f7f395352b1,2,604a724676cc5a0de7e93fd1,3,1,0.6731394035616947,0.2504886476587936,0.0763719487795118,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,144,672.0,0.0090813831645127,0.6101875532821824,0.0,0.149616368286445,0.1736999147485081,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.0,3750.0,0.0,1358.0,0.0,0.0,4394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,0.0,0.0,0.0,0.0,4394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,trace-12-16,3,0.06666666666666667,0.32321428571428573,0.6101190476190477,31,33,313
